id,title,condition,price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,permalink,thumbnail,category_id,domain_id,Marca,Color,Condición del ítem,Modelo,Formato de venta,Unidades por pack,Unidades por envase,Color principal,Código universal de producto,Largo del paquete,Peso del paquete,Peso neto,Conservación del producto,Línea
MLA1131201307,Guantes De Nitrilo Printex Talle M X 4 Cajas,new,40000.0,ARS,1,,buy_it_now,gold_special,2042-04-02T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1131201307-guantes-de-nitrilo-printex-talle-m-x-4-cajas-_JM,http://http2.mlstatic.com/D_975739-MLA49602337483_042022-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Printex,,Nuevo,Nitrilo sin polvo,,,,,,,,,,
MLA1759406110,Guantes De Nitrilo X Cajón 60mil,new,58000.0,ARS,1,,buy_it_now,gold_special,2044-04-27T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1759406110-guantes-de-nitrilo-x-cajon-60mil-_JM,http://http2.mlstatic.com/D_616524-MLA75967133724_052024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediguard,,Nuevo,Mediguard,,,,,,,,,,
MLA1190121950,Guantes De Nitrilo Color Azul X 50u Sin Polvo Reforzados,new,3761.05,ARS,50,,buy_it_now,gold_special,2042-10-06T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1190121950-guantes-de-nitrilo-color-azul-x-50u-sin-polvo-reforzados-_JM,http://http2.mlstatic.com/D_621464-MLA51903955718_102022-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,,,,,,,,,,,
MLA1408791809,Guantes De Nitrilo Rosa X 100 U. | Manicura Reforzados,new,6059.0,ARS,1,,buy_it_now,gold_special,2044-02-08T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1408791809-guantes-de-nitrilo-rosa-x-100-u-manicura-reforzados-_JM,http://http2.mlstatic.com/D_885015-MLA74497196417_022024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,Nitrilo Rosa,Unidad,1,100,,,,,,,
MLA869722537,Guantes Negros Nitrilo Eurostil Descartables X 20 Unidades,new,5950.0,ARS,1,,buy_it_now,gold_special,2040-07-18T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-869722537-guantes-negros-nitrilo-eurostil-descartables-x-20-unidades-_JM,http://http2.mlstatic.com/D_968754-MLA45239219876_032021-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Eurostil,,Nuevo,Eurostil,Pack,1,20,,,,,,,
MLA1681599352,Cajon Guantes Nitrilo Reforzado Bulto 10 X 100 Con Anmat ,new,65467.0,ARS,50,,buy_it_now,gold_special,2044-02-20T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1681599352-cajon-guantes-nitrilo-reforzado-bulto-10-x-100-con-anmat-_JM,http://http2.mlstatic.com/D_855011-MLA74729616661_022024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Euromix,,Nuevo,Nitrilo Negro,Pack,10,1000,,,,,,,
MLA1416859257,Guante Nitrilo Descartable Negro X 100 Talle Xl,new,10000.0,ARS,1,,buy_it_now,gold_special,2044-03-17T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1416859257-guante-nitrilo-descartable-negro-x-100-talle-xl-_JM,http://http2.mlstatic.com/D_611222-MLA75172398898_032024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Steelpro,,Nuevo,Nitrilo Negro,Pack,100,100,,,,,,,
MLA1699396524,Guantes De Nitrilo Negro X100 Unidades Talle L M S Xs Y Xl,new,9800.0,ARS,250,,buy_it_now,gold_pro,2044-06-20T12:10:04.000Z,https://articulo.mercadolibre.com.ar/MLA-1699396524-guantes-de-nitrilo-negro-x100-unidades-talle-l-m-s-xs-y-xl-_JM,http://http2.mlstatic.com/D_987491-MLA74911885054_032024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediglove,,Nuevo,Nitrilo,Pack,100,,,,,,,,
MLA1468920956,Guantes De Nitrilo Negro 100u,new,12500.0,ARS,1,,buy_it_now,gold_special,2043-08-03T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1468920956-guantes-de-nitrilo-negro-100u-_JM,http://http2.mlstatic.com/D_642823-MLA70929501850_082023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Talles s/m/l/xl,,Nuevo,Nitrilo Negro,Pack,100,100,,,,,,,
MLA1408766331,Guantes De Nitrilo Rosa X 100 U. | Aprobados Por Anmat,new,6059.0,ARS,1,,buy_it_now,gold_special,2044-02-08T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1408766331-guantes-de-nitrilo-rosa-x-100-u-aprobados-por-anmat-_JM,http://http2.mlstatic.com/D_885015-MLA74497196417_022024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,Nitrilo Rosa,Unidad,1,100,,,,,,,
MLA1572244512,Caja Guantes Nitrilo Azul Reforzado Con Anmat X 1000 Un,new,67999.0,ARS,1,,buy_it_now,gold_special,2043-11-17T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1572244512-caja-guantes-nitrilo-azul-reforzado-con-anmat-x-1000-un-_JM,http://http2.mlstatic.com/D_631497-MLA73013969397_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,B Medical,,Nuevo,Nitrilo Azul,,10,100,,,,,,,
MLA1395196383,Guantes Nitrilo Rosa | Euromix | Cajón/bulto De 10 Cajas,new,63877.0,ARS,1,,buy_it_now,gold_special,2043-11-04T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1395196383-guantes-nitrilo-rosa-euromix-cajonbulto-de-10-cajas-_JM,http://http2.mlstatic.com/D_952256-MLA72788999663_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Euromix,,Nuevo,Examinación,Pack,10,1000,,,,,,,
MLA1681703350,Guantes Nitrilo Rosa | Euromix | Caja X100 Anmat Reforzado,new,6584.0,ARS,250,,buy_it_now,gold_special,2044-02-20T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1681703350-guantes-nitrilo-rosa-euromix-caja-x100-anmat-reforzado-_JM,http://http2.mlstatic.com/D_923150-MLA72773619211_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Euromix,,Nuevo,Nitrilo Rosa,Unidad,1,100,,,,,,,
MLA1281977882,Guantes De Nitrilo Lavanda Lila Marca Dexal Talle S X 100un,new,8660.0,ARS,1,,buy_it_now,gold_special,2042-12-09T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1281977882-guantes-de-nitrilo-lavanda-lila-marca-dexal-talle-s-x-100un-_JM,http://http2.mlstatic.com/D_706903-MLA53971208399_022023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Dexal,,Nuevo,Lavanda,Caja,100,,,,,,,,
MLA1743751340,Guantes De Nitrilo Descartables Negro Caja X 100 Uni Talle M,new,11900.0,ARS,1,,buy_it_now,gold_special,2044-04-12T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1743751340-guantes-de-nitrilo-descartables-negro-caja-x-100-uni-talle-m-_JM,http://http2.mlstatic.com/D_762022-MLA75846172095_042024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Guantes,,Nuevo,Guantes de Nitrilo,Pack,100,,,,,,,,
MLA1397520851,Guantes De Nitrilo Negro Talle L X 100 Unidades Marca Dexal,new,8900.0,ARS,1,,buy_it_now,gold_special,2043-11-25T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1397520851-guantes-de-nitrilo-negro-talle-l-x-100-unidades-marca-dexal-_JM,http://http2.mlstatic.com/D_782246-MLA73174114819_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Dexal,,Nuevo,Nitrilo Negro,Unidad,1,100,,07792366464857,,,,,
MLA1370383789,Guantes De Nitrilo Descartable Caja 100 Unidades 50 Pares,new,9889.42,ARS,1,,buy_it_now,gold_special,2043-05-14T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1370383789-guantes-de-nitrilo-descartable-caja-100-unidades-50-pares-_JM,http://http2.mlstatic.com/D_831563-MLA69516729825_052023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,De Pascale,,Nuevo,DPS72051,Pack,100,,,,,,,,
MLA1601869492,Guantes Descartables Antideslizantes Mediglove Reforzado T:l,new,10000.0,ARS,50,,buy_it_now,gold_special,2043-12-11T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1601869492-guantes-descartables-antideslizantes-mediglove-reforzado-tl-_JM,http://http2.mlstatic.com/D_971182-MLA48772239670_012022-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediglove,,Nuevo,Reforzado,Unidad,1,100,,,,,,,
MLA1417759769,Caja Guantes Nitrilo Negro Reforzado Con Anmat X 100 ,new,8590.0,ARS,50,,buy_it_now,gold_special,2044-03-21T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1417759769-caja-guantes-nitrilo-negro-reforzado-con-anmat-x-100-_JM,http://http2.mlstatic.com/D_725375-MLA75406559103_032024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Printex,,Nuevo,Guantes de Nitrilo Negros,Unidad,1,100,,,,,,,
MLA853175260,Guantes De Nitrilo Color Negro Mediglove X2 Cajas,new,19000.0,ARS,5000,,buy_it_now,gold_special,2040-04-29T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-853175260-guantes-de-nitrilo-color-negro-mediglove-x2-cajas-_JM,http://http2.mlstatic.com/D_944340-MLA44481310279_012021-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediglove,,Nuevo,Nitrilo,Caja,2,100,,,,,,,
MLA1688016886,Guantes De Nitrilo Antideslizante Mediglove Black Soft ,new,9343.0,ARS,1,,buy_it_now,gold_pro,2044-06-08T17:06:41.000Z,https://articulo.mercadolibre.com.ar/MLA-1688016886-guantes-de-nitrilo-antideslizante-mediglove-black-soft-_JM,http://http2.mlstatic.com/D_844603-MLA74717702124_032024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediglove,,Nuevo,Reforzado,Unidad,1,100,,,,,,,
MLA1394281911,Guantes De Nitrilo Negro | Euromix | Unidad,new,6743.0,ARS,250,,buy_it_now,gold_special,2043-10-27T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1394281911-guantes-de-nitrilo-negro-euromix-unidad-_JM,http://http2.mlstatic.com/D_982314-MLA72628034733_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Euromix,,Nuevo,Nitrilo Negro,Unidad,1,100,,,,,,,
